
Maquina foi Desligada:2023-05-30T20:40:27.393411071; eduardo; 127.0.1.1; 13.022113022113022; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:50:11; 
Maquina foi Desligada:2023-05-30T20:42:10.757544138; eduardo; 127.0.1.1; 9.136420525657071; 4.4 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:51:54; 
Maquina foi Desligada:2023-05-30T20:42:58.487597009; eduardo; 127.0.1.1; 19.35483870967742; 4.4 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:52:42; 
Maquina foi Desligada:2023-05-30T20:43:29.227018620; eduardo; 127.0.1.1; 8.241082410824108; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:53:13; 
Maquina foi Desligada:2023-05-30T20:43:58.090521165; eduardo; 127.0.1.1; 18.401937046004843; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:53:42; 
Maquina foi Desligada:2023-05-30T20:44:24.700190452; eduardo; 127.0.1.1; 12.82367447595561; 4.4 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:54:08; 
Maquina foi Desligada:2023-05-30T20:45:07.170612510; eduardo; 127.0.1.1; 5.632040050062578; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:54:51; 
Maquina foi Desligada:2023-05-30T20:45:34.124705935; eduardo; 127.0.1.1; 6.75; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:55:18; 
Maquina foi Desligada:2023-05-30T20:46:24.479729136; eduardo; 127.0.1.1; 9.3711467324291; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:56:08; 
Maquina foi Desligada:2023-05-30T20:47:38.855674455; eduardo; 127.0.1.1; 10.526315789473683; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:57:22; 
Maquina foi Desligada:2023-05-30T20:48:23.602338297; eduardo; 127.0.1.1; 8.0; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 02:58:07; 
Maquina foi Desligada:2023-05-30T20:50:50.549793509; eduardo; 127.0.1.1; 6.78391959798995; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:00:34; 
Maquina foi Desligada:2023-05-30T20:56:57.669845436; eduardo; 127.0.1.1; 6.423173803526448; 4.3 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:06:41; 
Maquina foi Desligada:2023-05-30T21:01:25.866518869; eduardo; 127.0.1.1; 13.135068153655514; 4.4 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:11:09; 
Maquina foi Desligada:2023-05-30T21:07:35.153831359; eduardo; 127.0.1.1; 15.193026151930262; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:17:19; 
Maquina foi Desligada:2023-05-30T21:11:01.513655882; eduardo; 127.0.1.1; 5.5696202531645564; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:20:45; 
Maquina foi Desligada:2023-05-30T21:17:29.335897139; eduardo; 127.0.1.1; 6.592039800995026; 4.6 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:13; 
Maquina foi Desligada:2023-05-30T21:17:33.320694875; eduardo; 127.0.1.1; 11.292346298619824; 4.6 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:17; 
Maquina foi Desligada:2023-05-30T21:17:36.840379462; eduardo; 127.0.1.1; 17.632241813602015; 4.6 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:20; 
Maquina foi Desligada:2023-05-30T21:17:39.895846457; eduardo; 127.0.1.1; 11.601513240857503; 4.6 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:23; 
Maquina foi Desligada:2023-05-30T21:17:40.731917202; eduardo; 127.0.1.1; 4.41919191919192; 4.6 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:24; 
Maquina foi Desligada:2023-05-30T21:17:42.639830039; eduardo; 127.0.1.1; 15.938303341902312; 4.4 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:27:26; 
Maquina foi Desligada:2023-05-30T21:18:55.976128983; eduardo; 127.0.1.1; 7.3139974779319035; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:40; 
Maquina foi Desligada:2023-05-30T21:18:59.953410398; eduardo; 127.0.1.1; 10.178117048346055; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:44; 
Maquina foi Desligada:2023-05-30T21:19:03.946571134; eduardo; 127.0.1.1; 50.94816687737042; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:48; 
Maquina foi Desligada:2023-05-30T21:19:06.768021806; eduardo; 127.0.1.1; 6.25782227784731; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:50; 
Maquina foi Desligada:2023-05-30T21:19:09.564202152; eduardo; 127.0.1.1; 7.052896725440807; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:53; 
Maquina foi Desligada:2023-05-30T21:19:13.428813528; eduardo; 127.0.1.1; 33.24968632371393; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:28:57; 
Maquina foi Desligada:2023-05-30T21:20:09.713106485; eduardo; 127.0.1.1; 16.416040100250626; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:29:53; 
Maquina foi Desligada:2023-05-30T21:20:12.764467143; eduardo; 127.0.1.1; 13.77551020408163; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:29:56; 
Maquina foi Desligada:2023-05-30T21:20:16.756924336; eduardo; 127.0.1.1; 22.75; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:30:00; 
Maquina foi Desligada:2023-05-30T21:20:20.649047653; eduardo; 127.0.1.1; 33.07984790874524; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:30:04; 
Maquina foi Desligada:2023-05-30T21:20:24.438089387; eduardo; 127.0.1.1; 6.114649681528663; 4.5 GiB; 5.7 GiB; Linux Mint; 64; GNU/Linux; 0 days, 03:30:08; 
